category,term
homicidio,homicidio
homicidio,asesinato
homicidio,parricidio
propiedad,hurto
propiedad,robo
propiedad,estafa
sexual,violacion
sexual,acoso
sexual,estupro
organizado,narcotrafico
organizado,extorsion
organizado,secuestro
cibercrimen,phishing
cibercrimen,fraude digital
cibercrimen,ciberacoso
